Anon Student Id,total attemps,CFA sum,CFA_Percentage,Corrects,Incorrects,Correct_Percentage
02i5jCrfQK,6651,5169,0.777176364,7595,2664,0.740325568
02ZjVTxC34,1347,864,0.64142539,1450,847,0.631258163
0493L6bGa9,442,336,0.760180995,561,180,0.75708502
04N6FdP4pd,550,427,0.776363636,601,366,0.621509824
075kbY53c1,5582,3574,0.640272304,6796,4786,0.586772578
081u59Iq1D,796,700,0.879396985,935,174,0.843101894
0BrbPbwCMz,712,520,0.730337079,834,338,0.711604096
0ccXSz8Bk8,298,213,0.714765101,386,217,0.64013267
0GlR30c2Mt,3257,2444,0.750383789,3749,1810,0.674401871
0jSb6S70X1,3937,2976,0.755905512,4665,2409,0.659457167
0KS4yy9G96,3551,2954,0.831878344,4147,1227,0.771678452
0nF0z1401O,299,239,0.799331104,359,93,0.794247788
0u17bw7v7w,1672,1387,0.829545455,1805,459,0.797261484
0U9x5pNv8t,6153,4633,0.752966033,7220,3331,0.684295327
0w3IAZa8rQ,1481,1161,0.783929777,1746,1028,0.629416006
0w8srd7i18,666,541,0.812312312,922,283,0.765145228
0YvZonpLW8,635,498,0.784251969,672,235,0.740904079
0ZroSLGL09,392,336,0.857142857,415,137,0.751811594
11fnXrq9Jf,5621,4168,0.74150507,6811,2276,0.749532299
12M70dm49w,4183,3242,0.775041836,4826,1869,0.720836445
12ss7J5ug6,741,448,0.604588394,970,489,0.664838931
12ws2Vy47j,1116,933,0.836021505,1286,375,0.77423239
13yR9KFHCI,250,197,0.788,273,137,0.665853659
15V4J8fDs3,1348,753,0.558605341,1811,1067,0.629256428
162lfGskK2,63,53,0.841269841,70,22,0.760869565
16zN4n2fFO,871,703,0.807118255,943,303,0.75682183
1793z4bHHR,1095,949,0.866666667,1199,307,0.796148738
183ppvOXp8,1017,868,0.853490659,1152,272,0.808988764
19UbXBlPPK,45,28,0.622222222,45,42,0.517241379
1bJbgQ32E3,5863,4301,0.73358349,6878,3596,0.656673668
1CI7f2R98c,2214,1811,0.817976513,2504,1085,0.697687378
1DlUV9t495,627,505,0.805422648,708,180,0.797297297
1hQzlO49di,269,207,0.769516729,273,141,0.65942029
1iPV6aca5w,21,17,0.80952381,20,7,0.740740741
1k3GIfwBw6,899,760,0.84538376,1062,253,0.807604563
1kKxS8urAH,6180,4594,0.743365696,7460,3194,0.700206495
1Nf2932GeH,294,226,0.768707483,326,162,0.668032787
1to8tgu4IT,1916,1516,0.791231733,2186,869,0.715548282
1wJ0kz1I0l,803,436,0.542963885,1154,768,0.600416233
1z5YH40155,140,83,0.592857143,137,166,0.452145215
229ciAoz51,218,124,0.568807339,250,186,0.573394495
233EMC2k7k,698,566,0.810888252,918,236,0.795493934
23T7Up1oQ6,64,56,0.875,64,17,0.790123457
242fhbKRf9,4555,3231,0.709330406,5387,1857,0.743649917
276487SwvF,1043,814,0.780441035,1163,464,0.714812538
29U6L12O3k,148,102,0.689189189,148,66,0.691588785
2AMmebFl86,2079,1524,0.733044733,2447,1120,0.686010653
2HCz3wr27b,59,51,0.86440678,59,15,0.797297297
